"id","name","station_id","facility_type","physical_city","physical_state","Vet Center Status
(Normal, Alpha, Bravo, Charlie, Delta)","facility_status
(Options: Normal services and hours, Facility notice, Limited services and hours, Facility closed)","facility_status_more_info
(limit 300 characters, plain text only, changed yellow if too long)"
"vc_0236V","Dundalk Vet Center","0236V","vet_center","Dundalk","MD","Bravo Status","Limited services and hours","We're currently open for limited in-person service, and screening all visitors for symptoms, due to the coronavirus COVID-19. For individual and group counseling, we recommend using our telehealth services. If you need to talk with someone confidentially, please call us anytime 24/7 at 877-927-8387."
"vc_0623V","East Los Angeles Vet Center","0623V","vet_center","Commerce","CA","Bravo Status","Limited services and hours","We're currently open for limited in-person service, and screening all visitors for symptoms, due to the coronavirus COVID-19. For individual and group counseling, we recommend using our telehealth services. If you need to talk with someone confidentially, please call us anytime 24/7 at 877-927-8387."
"vc_0707V","El Paso Vet Center","0707V","vet_center","El Paso","TX","Bravo Status","Limited services and hours","We're currently open for limited in-person service, and screening all visitors for symptoms, due to the coronavirus COVID-19. For individual and group counseling, we recommend using our telehealth services. If you need to talk with someone confidentially, please call us anytime 24/7 at 877-927-8387."
"vc_0209V","Elkton Vet Center","0209V","vet_center","Elkton","MD","Bravo Status","Limited services and hours","We're currently open for limited in-person service, and screening all visitors for symptoms, due to the coronavirus COVID-19. For individual and group counseling, we recommend using our telehealth services. If you need to talk with someone confidentially, please call us anytime 24/7 at 877-927-8387."
"vc_0222V","Erie Vet Center","0222V","vet_center","Erie","PA","Bravo Status","Limited services and hours","We're currently open for limited in-person service, and screening all visitors for symptoms, due to the coronavirus COVID-19. For individual and group counseling, we recommend using our telehealth services. If you need to talk with someone confidentially, please call us anytime 24/7 at 877-927-8387."
"vc_0434V","Escanaba Vet Center","0434V","vet_center","Escanaba","MI","Bravo Status","Limited services and hours","We're currently open for limited in-person service, and screening all visitors for symptoms, due to the coronavirus COVID-19. For individual and group counseling, we recommend using our telehealth services. If you need to talk with someone confidentially, please call us anytime 24/7 at 877-927-8387."
"vc_0626V","Eugene Vet Center","0626V","vet_center","Eugene","OR","Bravo Status","Limited services and hours","We're currently open for limited in-person service, and screening all visitors for symptoms, due to the coronavirus COVID-19. For individual and group counseling, we recommend using our telehealth services. If you need to talk with someone confidentially, please call us anytime 24/7 at 877-927-8387."
"vc_0644V","Eureka Vet Center","0644V","vet_center","Eureka","CA","Bravo Status","Limited services and hours","We're currently open for limited in-person service, and screening all visitors for symptoms, due to the coronavirus COVID-19. For individual and group counseling, we recommend using our telehealth services. If you need to talk with someone confidentially, please call us anytime 24/7 at 877-927-8387."
"vc_0420V","Evanston Vet Center","0420V","vet_center","Evanston","IL","Bravo Status","Limited services and hours","We're currently open for limited in-person service, and screening all visitors for symptoms, due to the coronavirus COVID-19. For individual and group counseling, we recommend using our telehealth services. If you need to talk with someone confidentially, please call us anytime 24/7 at 877-927-8387."
"vc_0418V","Evansville Vet Center","0418V","vet_center","Evansville","IN","Bravo Status","Limited services and hours","We're currently open for limited in-person service, and screening all visitors for symptoms, due to the coronavirus COVID-19. For individual and group counseling, we recommend using our telehealth services. If you need to talk with someone confidentially, please call us anytime 24/7 at 877-927-8387."
"vc_0529V","Everett Vet Center","0529V","vet_center","Everett","WA","Bravo Status","Limited services and hours","We're currently open for limited in-person service, and screening all visitors for symptoms, due to the coronavirus COVID-19. For individual and group counseling, we recommend using our telehealth services. If you need to talk with someone confidentially, please call us anytime 24/7 at 877-927-8387."
"vc_0511V","Fairbanks Vet Center","0511V","vet_center","Fairbanks","AK","Bravo Status","Limited services and hours","We're currently open for limited in-person service, and screening all visitors for symptoms, due to the coronavirus COVID-19. For individual and group counseling, we recommend using our telehealth services. If you need to talk with someone confidentially, please call us anytime 24/7 at 877-927-8387."
"vc_0406V","Fargo Vet Center","0406V","vet_center","Fargo","ND","Bravo Status","Limited services and hours","We're currently open for limited in-person service, and screening all visitors for symptoms, due to the coronavirus COVID-19. For individual and group counseling, we recommend using our telehealth services. If you need to talk with someone confidentially, please call us anytime 24/7 at 877-927-8387."
"vc_0516V","Farmington Vet Center","0516V","vet_center","Farmington","NM","Bravo Status","Limited services and hours","We're currently open for limited in-person service, and screening all visitors for symptoms, due to the coronavirus COVID-19. For individual and group counseling, we recommend using our telehealth services. If you need to talk with someone confidentially, please call us anytime 24/7 at 877-927-8387."
"vc_0315V","Fayetteville Vet Center","0315V","vet_center","Fayetteville","NC","Bravo Status","Limited services and hours","We're currently open for limited in-person service, and screening all visitors for symptoms, due to the coronavirus COVID-19. For individual and group counseling, we recommend using our telehealth services. If you need to talk with someone confidentially, please call us anytime 24/7 at 877-927-8387."
"vc_0727V","Fayetteville Vet Center","0727V","vet_center","Fayetteville","AR","Bravo Status","Limited services and hours","We're currently open for limited in-person service, and screening all visitors for symptoms, due to the coronavirus COVID-19. For individual and group counseling, we recommend using our telehealth services. If you need to talk with someone confidentially, please call us anytime 24/7 at 877-927-8387."
"vc_0535V","Federal Way Vet Center","0535V","vet_center","Federal Way","WA","Bravo Status","Limited services and hours","We're currently open for limited in-person service, and screening all visitors for symptoms, due to the coronavirus COVID-19. For individual and group counseling, we recommend using our telehealth services. If you need to talk with someone confidentially, please call us anytime 24/7 at 877-927-8387."
"vc_0543V","Fort Collins Vet Center","0543V","vet_center","Fort Collins","CO","Bravo Status","Limited services and hours","We're currently open for limited in-person service, and screening all visitors for symptoms, due to the coronavirus COVID-19. For individual and group counseling, we recommend using our telehealth services. If you need to talk with someone confidentially, please call us anytime 24/7 at 877-927-8387."
"vc_0409V","Fort Wayne Vet Center","0409V","vet_center","Fort Wayne","IN","Bravo Status","Limited services and hours","We're currently open for limited in-person service, and screening all visitors for symptoms, due to the coronavirus COVID-19. For individual and group counseling, we recommend using our telehealth services. If you need to talk with someone confidentially, please call us anytime 24/7 at 877-927-8387."
"vc_0708V","Fort Worth Vet Center","0708V","vet_center","Westworth Village","TX","Bravo Status","Limited services and hours","We're currently open for limited in-person service, and screening all visitors for symptoms, due to the coronavirus COVID-19. For individual and group counseling, we recommend using our telehealth services. If you need to talk with someone confidentially, please call us anytime 24/7 at 877-927-8387."
"vc_0628V","Fresno Vet Center","0628V","vet_center","Fresno","CA","Bravo Status","Limited services and hours","We're currently open for limited in-person service, and screening all visitors for symptoms, due to the coronavirus COVID-19. For individual and group counseling, we recommend using our telehealth services. If you need to talk with someone confidentially, please call us anytime 24/7 at 877-927-8387."
"vc_0330V","Ft. Myers Vet Center","0330V","vet_center","Fort Myers","FL","Bravo Status","Limited services and hours","We're currently open for limited in-person service, and screening all visitors for symptoms, due to the coronavirus COVID-19. For individual and group counseling, we recommend using our telehealth services. If you need to talk with someone confidentially, please call us anytime 24/7 at 877-927-8387."
"vc_0331V","Gainesville Vet Center","0331V","vet_center","Gainesville","FL","Bravo Status","Limited services and hours","We're currently open for limited in-person service, and screening all visitors for symptoms, due to the coronavirus COVID-19. For individual and group counseling, we recommend using our telehealth services. If you need to talk with someone confidentially, please call us anytime 24/7 at 877-927-8387."
"vc_0412V","Gary Area Vet Center","0412V","vet_center","Crown Point","IN","Bravo Status","Limited services and hours","We're currently open for limited in-person service, and screening all visitors for symptoms, due to the coronavirus COVID-19. For individual and group counseling, we recommend using our telehealth services. If you need to talk with someone confidentially, please call us anytime 24/7 at 877-927-8387."
"vc_4061OS","Grand Forks Outstation","4061OS","vet_center","Grand Forks","ND","Bravo Status","Limited services and hours","We're currently open for limited in-person service, and screening all visitors for symptoms, due to the coronavirus COVID-19. For individual and group counseling, we recommend using our telehealth services. If you need to talk with someone confidentially, please call us anytime 24/7 at 877-927-8387."
"vc_0526V","Grand Junction Vet Center","0526V","vet_center","Grand Junction","CO","Bravo Status","Limited services and hours","We're currently open for limited in-person service, and screening all visitors for symptoms, due to the coronavirus COVID-19. For individual and group counseling, we recommend using our telehealth services. If you need to talk with someone confidentially, please call us anytime 24/7 at 877-927-8387."
"vc_0403V","Grand Rapids Vet Center","0403V","vet_center","Grand Rapids","MI","Bravo Status","Limited services and hours","We're currently open for limited in-person service, and screening all visitors for symptoms, due to the coronavirus COVID-19. For individual and group counseling, we recommend using our telehealth services. If you need to talk with someone confidentially, please call us anytime 24/7 at 877-927-8387."
"vc_0645V","Grants Pass Vet Center","0645V","vet_center","Grants Pass","OR","Bravo Status","Limited services and hours","We're currently open for limited in-person service, and screening all visitors for symptoms, due to the coronavirus COVID-19. For individual and group counseling, we recommend using our telehealth services. If you need to talk with someone confidentially, please call us anytime 24/7 at 877-927-8387."
"vc_0538V","Great Falls Vet Center","0538V","vet_center","Great Falls","MT","Bravo Status","Limited services and hours","We're currently open for limited in-person service, and screening all visitors for symptoms, due to the coronavirus COVID-19. For individual and group counseling, we recommend using our telehealth services. If you need to talk with someone confidentially, please call us anytime 24/7 at 877-927-8387."
"vc_0441V","Green Bay Vet Center","0441V","vet_center","Green Bay","WI","Bravo Status","Limited services and hours","We're currently open for limited in-person service, and screening all visitors for symptoms, due to the coronavirus COVID-19. For individual and group counseling, we recommend using our telehealth services. If you need to talk with someone confidentially, please call us anytime 24/7 at 877-927-8387."
"vc_0327V","Greensboro Vet Center","0327V","vet_center","Greensboro","NC","Bravo Status","Limited services and hours","We're currently open for limited in-person service, and screening all visitors for symptoms, due to the coronavirus COVID-19. For individual and group counseling, we recommend using our telehealth services. If you need to talk with someone confidentially, please call us anytime 24/7 at 877-927-8387."
"vc_0316V","Greenville Vet Center","0316V","vet_center","Greenville","SC","Bravo Status","Limited services and hours","We're currently open for limited in-person service, and screening all visitors for symptoms, due to the coronavirus COVID-19. For individual and group counseling, we recommend using our telehealth services. If you need to talk with someone confidentially, please call us anytime 24/7 at 877-927-8387."
"vc_0319V","Greenville Vet Center","0319V","vet_center","Greenville","NC","Bravo Status","Limited services and hours","We're currently open for limited in-person service, and screening all visitors for symptoms, due to the coronavirus COVID-19. For individual and group counseling, we recommend using our telehealth services. If you need to talk with someone confidentially, please call us anytime 24/7 at 877-927-8387."
"vc_0648V","Guam Vet Center","0648V","vet_center","Maite","GU","Bravo Status","Limited services and hours","We're currently open for limited in-person service, and screening all visitors for symptoms, due to the coronavirus COVID-19. For individual and group counseling, we recommend using our telehealth services. If you need to talk with someone confidentially, please call us anytime 24/7 at 877-927-8387."
"vc_0133V","Harlem Vet Center","0133V","vet_center","New York","NY","Bravo Status","Limited services and hours","We're currently open for limited in-person service, and screening all visitors for symptoms, due to the coronavirus COVID-19. For individual and group counseling, we recommend using our telehealth services. If you need to talk with someone confidentially, please call us anytime 24/7 at 877-927-8387."
"vc_0218V","Harrisburg Vet Center","0218V","vet_center","Harrisburg","PA","Bravo Status","Limited services and hours","We're currently open for limited in-person service, and screening all visitors for symptoms, due to the coronavirus COVID-19. For individual and group counseling, we recommend using our telehealth services. If you need to talk with someone confidentially, please call us anytime 24/7 at 877-927-8387."
"vc_0117V","Hartford Vet Center","0117V","vet_center","Rocky Hill","CT","Bravo Status","Limited services and hours","We're conducting all regularly scheduled appointments virtually at this time due to the coronavirus COVID-19. Please contact us by phone or online. If you need to talk with someone confidentially, please call us anytime day or night at 877-927-8387."
"vc_5381OS","Helena Outstation","5381OS","vet_center","Helena","MT","Bravo Status","Limited services and hours","We're currently open for limited in-person service, and screening all visitors for symptoms, due to the coronavirus COVID-19. For individual and group counseling, we recommend using our telehealth services. If you need to talk with someone confidentially, please call us anytime 24/7 at 877-927-8387."
"vc_0534V","Henderson Vet Center","0534V","vet_center","Henderson","NV","Bravo Status","Limited services and hours","We're currently open for limited in-person service, and screening all visitors for symptoms, due to the coronavirus COVID-19. For individual and group counseling, we recommend using our telehealth services. If you need to talk with someone confidentially, please call us anytime 24/7 at 877-927-8387."
"vc_0613V","High Desert Vet Center","0613V","vet_center","Victorville","CA","Bravo Status","Limited services and hours","We're currently open for limited in-person service, and screening all visitors for symptoms, due to the coronavirus COVID-19. For individual and group counseling, we recommend using our telehealth services. If you need to talk with someone confidentially, please call us anytime 24/7 at 877-927-8387."
"vc_0635V","Hilo Vet Center","0635V","vet_center","Hilo","HI","Bravo Status","Limited services and hours","We're currently open for limited in-person service, and screening all visitors for symptoms, due to the coronavirus COVID-19. For individual and group counseling, we recommend using our telehealth services. If you need to talk with someone confidentially, please call us anytime 24/7 at 877-927-8387."
"vc_0609V","Honolulu Vet Center","0609V","vet_center","Honolulu","HI","Bravo Status","Limited services and hours","We're currently open for limited in-person service, and screening all visitors for symptoms, due to the coronavirus COVID-19. For individual and group counseling, we recommend using our telehealth services. If you need to talk with someone confidentially, please call us anytime 24/7 at 877-927-8387."
"vc_5162OS","Hopi Outstation","5162OS","vet_center","Hotevilla","AZ","Bravo Status","Limited services and hours","We're currently open for limited in-person service, and screening all visitors for symptoms, due to the coronavirus COVID-19. For individual and group counseling, we recommend using our telehealth services. If you need to talk with someone confidentially, please call us anytime 24/7 at 877-927-8387."
"vc_0710V","Houston Southwest Vet Center","0710V","vet_center","Houston","TX","Bravo Status","Limited services and hours","We're currently open for limited in-person service, and screening all visitors for symptoms, due to the coronavirus COVID-19. For individual and group counseling, we recommend using our telehealth services. If you need to talk with someone confidentially, please call us anytime 24/7 at 877-927-8387."
"vc_0711V","Houston West Vet Center","0711V","vet_center","Houston","TX","Bravo Status","Limited services and hours","We're currently open for limited in-person service, and screening all visitors for symptoms, due to the coronavirus COVID-19. For individual and group counseling, we recommend using our telehealth services. If you need to talk with someone confidentially, please call us anytime 24/7 at 877-927-8387."
"vc_0208V","Huntington Vet Center","0208V","vet_center","Huntington","WV","Bravo Status","Limited services and hours","We're currently open for limited in-person service, and screening all visitors for symptoms, due to the coronavirus COVID-19. For individual and group counseling, we recommend using our telehealth services. If you need to talk with someone confidentially, please call us anytime 24/7 at 877-927-8387."
"vc_0738V","Huntsville Vet Center","0738V","vet_center","Huntsville","AL","Bravo Status","Limited services and hours","We're currently open for limited in-person service, and screening all visitors for symptoms, due to the coronavirus COVID-19. For individual and group counseling, we recommend using our telehealth services. If you need to talk with someone confidentially, please call us anytime 24/7 at 877-927-8387."
"vc_0413V","Indianapolis Vet Center","0413V","vet_center","Indianapolis","IN","Bravo Status","Limited services and hours","We're currently open for limited in-person service, and screening all visitors for symptoms, due to the coronavirus COVID-19. For individual and group counseling, we recommend using our telehealth services. If you need to talk with someone confidentially, please call us anytime 24/7 at 877-927-8387."
"vc_0709V","Jackson Vet Center","0709V","vet_center","Jackson","MS","Bravo Status","Limited services and hours","We're currently open for limited in-person service, and screening all visitors for symptoms, due to the coronavirus COVID-19. For individual and group counseling, we recommend using our telehealth services. If you need to talk with someone confidentially, please call us anytime 24/7 at 877-927-8387."
"vc_0305V","Jacksonville Vet Center","0305V","vet_center","Jacksonville","FL","Bravo Status","Limited services and hours","We're currently open for limited in-person service, and screening all visitors for symptoms, due to the coronavirus COVID-19. For individual and group counseling, we recommend using our telehealth services. If you need to talk with someone confidentially, please call us anytime 24/7 at 877-927-8387."
"vc_0343V","Jacksonville Vet Center","0343V","vet_center","Jacksonville","NC","Bravo Status","Limited services and hours","We're currently open for limited in-person service, and screening all visitors for symptoms, due to the coronavirus COVID-19. For individual and group counseling, we recommend using our telehealth services. If you need to talk with someone confidentially, please call us anytime 24/7 at 877-927-8387."
"vc_0701V","Johnson City Vet Center","0701V","vet_center","Johnson City","TN","Bravo Status","Limited services and hours","We're currently open for limited in-person service, and screening all visitors for symptoms, due to the coronavirus COVID-19. For individual and group counseling, we recommend using our telehealth services. If you need to talk with someone confidentially, please call us anytime 24/7 at 877-927-8387."
"vc_0337V","Jupiter Vet Center","0337V","vet_center","Jupiter","FL","Bravo Status","Limited services and hours","We're currently open for limited in-person service, and screening all visitors for symptoms, due to the coronavirus COVID-19. For individual and group counseling, we recommend using our telehealth services. If you need to talk with someone confidentially, please call us anytime 24/7 at 877-927-8387."
"vc_0636V","Kailua-Kona Vet Center","0636V","vet_center","Kailua-Kona","HI","Bravo Status","Limited services and hours","We're currently open for limited in-person service, and screening all visitors for symptoms, due to the coronavirus COVID-19. For individual and group counseling, we recommend using our telehealth services. If you need to talk with someone confidentially, please call us anytime 24/7 at 877-927-8387."
"vc_0539V","Kalispell Vet Center","0539V","vet_center","Kalispell","MT","Bravo Status","Limited services and hours","We're currently open for limited in-person service, and screening all visitors for symptoms, due to the coronavirus COVID-19. For individual and group counseling, we recommend using our telehealth services. If you need to talk with someone confidentially, please call us anytime 24/7 at 877-927-8387."
"vc_0408V","Kansas City Vet Center","0408V","vet_center","Kansas City","MO","Bravo Status","Limited services and hours","We're currently open for limited in-person service, and screening all visitors for symptoms, due to the coronavirus COVID-19. For individual and group counseling, we recommend using our telehealth services. If you need to talk with someone confidentially, please call us anytime 24/7 at 877-927-8387."
"vc_0633V","Kauai Vet Center","0633V","vet_center","Lihue","HI","Bravo Status","Limited services and hours","We're currently open for limited in-person service, and screening all visitors for symptoms, due to the coronavirus COVID-19. For individual and group counseling, we recommend using our telehealth services. If you need to talk with someone confidentially, please call us anytime 24/7 at 877-927-8387."
"vc_1221OS","Keene Outstation","1221OS","vet_center","Keene","NH","Bravo Status","Limited services and hours","We're currently open for limited in-person service, and screening all visitors for symptoms, due to the coronavirus COVID-19. For individual and group counseling, we recommend using our telehealth services. If you need to talk with someone confidentially, please call us anytime 24/7 at 877-927-8387."
"vc_5021OS","Kenai Outstation","5021OS","vet_center","Soldotna","AK","Bravo Status","Limited services and hours","We're currently open for limited in-person service, and screening all visitors for symptoms, due to the coronavirus COVID-19. For individual and group counseling, we recommend using our telehealth services. If you need to talk with someone confidentially, please call us anytime 24/7 at 877-927-8387."
"vc_0726V","Killeen Heights Vet Center","0726V","vet_center","Harker Heights","TX","Bravo Status","Limited services and hours","We're currently open for limited in-person service, and screening all visitors for symptoms, due to the coronavirus COVID-19. For individual and group counseling, we recommend using our telehealth services. If you need to talk with someone confidentially, please call us anytime 24/7 at 877-927-8387."
"vc_0720V","Knoxville Vet Center","0720V","vet_center","Knoxville","TN","Bravo Status","Limited services and hours","We're currently open for limited in-person service, and screening all visitors for symptoms, due to the coronavirus COVID-19. For individual and group counseling, we recommend using our telehealth services. If you need to talk with someone confidentially, please call us anytime 24/7 at 877-927-8387."
"vc_0442V","La Crosse Vet Center","0442V","vet_center","La Crosse","WI","Bravo Status","Limited services and hours","We're currently open for limited in-person service, and screening all visitors for symptoms, due to the coronavirus COVID-19. For individual and group counseling, we recommend using our telehealth services. If you need to talk with someone confidentially, please call us anytime 24/7 at 877-927-8387."
"vc_5081OS","Lacey Outstation","5081OS","vet_center","Lacey","WA","Bravo Status","Limited services and hours","We're currently open for limited in-person service, and screening all visitors for symptoms, due to the coronavirus COVID-19. For individual and group counseling, we recommend using our telehealth services. If you need to talk with someone confidentially, please call us anytime 24/7 at 877-927-8387."
"vc_0536V","Lake Havasu Vet Center","0536V","vet_center","Lake Havasu","AZ","Bravo Status","Limited services and hours","We're currently open for limited in-person service, and screening all visitors for symptoms, due to the coronavirus COVID-19. For individual and group counseling, we recommend using our telehealth services. If you need to talk with someone confidentially, please call us anytime 24/7 at 877-927-8387."
"vc_0340V","Lakeland Vet Center","0340V","vet_center","Lakeland","FL","Bravo Status","Limited services and hours","We're currently open for limited in-person service, and screening all visitors for symptoms, due to the coronavirus COVID-19. For individual and group counseling, we recommend using our telehealth services. If you need to talk with someone confidentially, please call us anytime 24/7 at 877-927-8387."
"vc_0141V","Lakewood Vet Center","0141V","vet_center","Lakewood","NJ","Bravo Status","Limited services and hours","We're currently open for limited in-person service, and screening all visitors for symptoms, due to the coronavirus COVID-19. For individual and group counseling, we recommend using our telehealth services. If you need to talk with someone confidentially, please call us anytime 24/7 at 877-927-8387."
"vc_0242V","Lancaster Vet Center","0242V","vet_center","Lancaster","PA","Bravo Status","Limited services and hours","We're currently open for limited in-person service, and screening all visitors for symptoms, due to the coronavirus COVID-19. For individual and group counseling, we recommend using our telehealth services. If you need to talk with someone confidentially, please call us anytime 24/7 at 877-927-8387."
"vc_0712V","Laredo Vet Center","0712V","vet_center","Laredo","TX","Bravo Status","Limited services and hours","We're currently open for limited in-person service, and screening all visitors for symptoms, due to the coronavirus COVID-19. For individual and group counseling, we recommend using our telehealth services. If you need to talk with someone confidentially, please call us anytime 24/7 at 877-927-8387."
"vc_0530V","Las Cruces Vet Center","0530V","vet_center","Las Cruces","NM","Bravo Status","Limited services and hours","We're currently open for limited in-person service, and screening all visitors for symptoms, due to the coronavirus COVID-19. For individual and group counseling, we recommend using our telehealth services. If you need to talk with someone confidentially, please call us anytime 24/7 at 877-927-8387."
"vc_0505V","Las Vegas Vet Center","0505V","vet_center","Las Vegas","NV","Bravo Status","Limited services and hours","We're currently open for limited in-person service, and screening all visitors for symptoms, due to the coronavirus COVID-19. For individual and group counseling, we recommend using our telehealth services. If you need to talk with someone confidentially, please call us anytime 24/7 at 877-927-8387."
"vc_0329V","Lawrenceville Vet Center","0329V","vet_center","Lawrenceville","GA","Bravo Status","Limited services and hours","We're currently open for limited in-person service, and screening all visitors for symptoms, due to the coronavirus COVID-19. For individual and group counseling, we recommend using our telehealth services. If you need to talk with someone confidentially, please call us anytime 24/7 at 877-927-8387."
"vc_0728V","Lawton Vet Center","0728V","vet_center","Lawton","OK","Bravo Status","Limited services and hours","We're currently open for limited in-person service, and screening all visitors for symptoms, due to the coronavirus COVID-19. For individual and group counseling, we recommend using our telehealth services. If you need to talk with someone confidentially, please call us anytime 24/7 at 877-927-8387."
"vc_0129V","Lewiston Vet Center","0129V","vet_center","Lewiston","ME","Bravo Status","Limited services and hours","We're currently open for limited in-person service, and screening all visitors for symptoms, due to the coronavirus COVID-19. For individual and group counseling, we recommend using our telehealth services. If you need to talk with someone confidentially, please call us anytime 24/7 at 877-927-8387."
"vc_0203V","Lexington Vet Center","0203V","vet_center","Lexington","KY","Bravo Status","Limited services and hours","We're currently open for limited in-person service, and screening all visitors for symptoms, due to the coronavirus COVID-19. For individual and group counseling, we recommend using our telehealth services. If you need to talk with someone confidentially, please call us anytime 24/7 at 877-927-8387."
"vc_0427V","Lincoln Vet Center","0427V","vet_center","Lincoln","NE","Bravo Status","Limited services and hours","We're currently open for limited in-person service, and screening all visitors for symptoms, due to the coronavirus COVID-19. For individual and group counseling, we recommend using our telehealth services. If you need to talk with someone confidentially, please call us anytime 24/7 at 877-927-8387."
"vc_0713V","Little Rock Vet Center","0713V","vet_center","North Little Rock","AR","Bravo Status","Limited services and hours","We're currently open for limited in-person service, and screening all visitors for symptoms, due to the coronavirus COVID-19. For individual and group counseling, we recommend using our telehealth services. If you need to talk with someone confidentially, please call us anytime 24/7 at 877-927-8387."
"vc_0606V","Los Angeles Vet Center","0606V","vet_center","Gardena","CA","Bravo Status","Limited services and hours","We're currently open for limited in-person service, and screening all visitors for symptoms, due to the coronavirus COVID-19. For individual and group counseling, we recommend using our telehealth services. If you need to talk with someone confidentially, please call us anytime 24/7 at 877-927-8387."
"vc_0202V","Louisville Vet Center","0202V","vet_center","Louisville","KY","Bravo Status","Limited services and hours","We're currently open for limited in-person service, and screening all visitors for symptoms, due to the coronavirus COVID-19. For individual and group counseling, we recommend using our telehealth services. If you need to talk with someone confidentially, please call us anytime 24/7 at 877-927-8387."
"vc_0125V","Lowell Vet Center","0125V","vet_center","Lowell","MA","Bravo Status","Limited services and hours","We're conducting all regularly scheduled appointments virtually at this time due to the coronavirus COVID-19. Please contact us by phone or online. If you need to talk with someone confidentially, please call us anytime day or night at 877-927-8387."
"vc_0714V","Lubbock Vet Center","0714V","vet_center","Lubbock","TX","Bravo Status","Limited services and hours","We're currently open for limited in-person service, and screening all visitors for symptoms, due to the coronavirus COVID-19. For individual and group counseling, we recommend using our telehealth services. If you need to talk with someone confidentially, please call us anytime 24/7 at 877-927-8387."
"vc_0437V","Macomb County Vet Center","0437V","vet_center","Clinton Township","MI","Bravo Status","Limited services and hours","We're currently open for limited in-person service, and screening all visitors for symptoms, due to the coronavirus COVID-19. For individual and group counseling, we recommend using our telehealth services. If you need to talk with someone confidentially, please call us anytime 24/7 at 877-927-8387."
"vc_0333V","Macon Vet Center","0333V","vet_center","Macon","GA","Bravo Status","Limited services and hours","We're currently open for limited in-person service, and screening all visitors for symptoms, due to the coronavirus COVID-19. For individual and group counseling, we recommend using our telehealth services. If you need to talk with someone confidentially, please call us anytime 24/7 at 877-927-8387."
"vc_0419V","Madison Vet Center","0419V","vet_center","Madison","WI","Bravo Status","Limited services and hours","We're currently open for limited in-person service, and screening all visitors for symptoms, due to the coronavirus COVID-19. For individual and group counseling, we recommend using our telehealth services. If you need to talk with someone confidentially, please call us anytime 24/7 at 877-927-8387."
"vc_5141OS","Major Brent Taylor Vet Center Outstation","5141OS","vet_center","North Ogden","UT","Bravo Status","Limited services and hours","We're currently open for limited in-person service, and screening all visitors for symptoms, due to the coronavirus COVID-19. For individual and group counseling, we recommend using our telehealth services. If you need to talk with someone confidentially, please call us anytime 24/7 at 877-927-8387."
"vc_0108V","Manchester Vet Center","0108V","vet_center","Hooksett","NH","Bravo Status","Limited services and hours","We're currently open for limited in-person service, and screening all visitors for symptoms, due to the coronavirus COVID-19. For individual and group counseling, we recommend using our telehealth services. If you need to talk with someone confidentially, please call us anytime 24/7 at 877-927-8387."
"vc_0432V","Manhattan Vet Center","0432V","vet_center","Manhattan","KS","Bravo Status","Limited services and hours","We're currently open for limited in-person service, and screening all visitors for symptoms, due to the coronavirus COVID-19. For individual and group counseling, we recommend using our telehealth services. If you need to talk with someone confidentially, please call us anytime 24/7 at 877-927-8387."
"vc_0106V","Manhattan Vet Center","0106V","vet_center","New York","NY","Bravo Status","Limited services and hours","We're currently open for limited in-person service, and screening all visitors for symptoms, due to the coronavirus COVID-19. For individual and group counseling, we recommend using our telehealth services. If you need to talk with someone confidentially, please call us anytime 24/7 at 877-927-8387."
"vc_0342V","Marietta Vet Center","0342V","vet_center","Marietta","GA","Bravo Status","Limited services and hours","We're currently open for limited in-person service, and screening all visitors for symptoms, due to the coronavirus COVID-19. For individual and group counseling, we recommend using our telehealth services. If you need to talk with someone confidentially, please call us anytime 24/7 at 877-927-8387."
"vc_0224V","Martinsburg Vet Center","0224V","vet_center","Martinsburg","WV","Bravo Status","Limited services and hours","We're currently open for limited in-person service, and screening all visitors for symptoms, due to the coronavirus COVID-19. For individual and group counseling, we recommend using our telehealth services. If you need to talk with someone confidentially, please call us anytime 24/7 at 877-927-8387."
"vc_0634V","Maui Vet Center","0634V","vet_center","Kahului","HI","Bravo Status","Limited services and hours","We're currently open for limited in-person service, and screening all visitors for symptoms, due to the coronavirus COVID-19. For individual and group counseling, we recommend using our telehealth services. If you need to talk with someone confidentially, please call us anytime 24/7 at 877-927-8387."
"vc_0715V","McAllen Vet Center","0715V","vet_center","McAllen","TX","Bravo Status","Limited services and hours","We're currently open for limited in-person service, and screening all visitors for symptoms, due to the coronavirus COVID-19. For individual and group counseling, we recommend using our telehealth services. If you need to talk with someone confidentially, please call us anytime 24/7 at 877-927-8387."
"vc_2061OS","McCafferty Outstation","2061OS","vet_center","Cleveland","OH","Bravo Status","Limited services and hours","We're currently open for limited in-person service, and screening all visitors for symptoms, due to the coronavirus COVID-19. For individual and group counseling, we recommend using our telehealth services. If you need to talk with someone confidentially, please call us anytime 24/7 at 877-927-8387."
"vc_0332V","Melbourne Vet Center","0332V","vet_center","Melbourne","FL","Bravo Status","Limited services and hours","We're currently open for limited in-person service, and screening all visitors for symptoms, due to the coronavirus COVID-19. For individual and group counseling, we recommend using our telehealth services. If you need to talk with someone confidentially, please call us anytime 24/7 at 877-927-8387."
"vc_0719V","Memphis Vet Center","0719V","vet_center","Memphis","TN","Bravo Status","Limited services and hours","We're currently open for limited in-person service, and screening all visitors for symptoms, due to the coronavirus COVID-19. For individual and group counseling, we recommend using our telehealth services. If you need to talk with someone confidentially, please call us anytime 24/7 at 877-927-8387."
